Feature,Importance
1347.9,1917.2073530560347
1496.6,1614.6755681288394
1509,1250.554984812806
1354.1,1168.7112207001687
1657.6,1118.627612723537
1124.9,989.9780714944231
1521.3,833.5406839890536
1341.7,751.2487440587681
1663.8,725.6640995489558
1490.4,725.4588515018053
1131.1,720.1332894466092
1651.4,665.2220641386193
1186.8,425.93499831005397
1193,408.4669269220625
920.5,333.97925634218643
1112.5,327.84573368695345
1515.1,262.5552100478304
1670,235.37781277219113
957.7,229.07981918674886
914.3,227.74292320284513
1502.8,224.341365937538
926.7,186.15391728802865
951.5,166.82531967527785
939.1,113.38408402327022
1527.5,42.79290976968463
1149.7,38.76724299880897
932.9,34.14597087037393
device_serial_N1-00110,29.62399737868708
1335.5,24.264147575115715
device_serial_M1-1000102,20.74954109434748
945.3,17.484730394547967
device_serial_N1-00226,15.057037239244423
device_serial_M1-1000109,14.42761390991638
device_serial_N1-00276,13.930172915561606
device_serial_M1-1000400,13.469715008424458
device_serial_N1-00196,13.038582484076429
device_serial_M1-1000397,12.638328687637575
device_serial_M1-1000403,12.359720677648369
device_serial_M1-1000130,12.194653002348508
device_serial_M1-1000331,11.305229907217644
device_serial_M1-1000218,11.196041828849332
device_serial_M1-1000333,11.13037212972857
device_serial_M1-1000170,10.28640878638435
device_serial_M1-1000107,9.923589495593976
device_serial_M1-1000100,9.900000638888379
device_serial_M1-1000401,9.682114568128135
device_serial_M1-1000101,9.587761677308238
device_serial_M1-1000177,9.367272244410799
device_serial_M1-1000186,8.600849110236027
device_serial_M1-1000129,8.252457484939564
device_serial_N1-00277,8.044237019003532
device_serial_M1-1000169,6.854164821488887
device_serial_M1-1000183,6.780361962979271
device_serial_M1-1000145,6.513882704141341
device_serial_M1-1000402,5.743811057329673
device_serial_M1-1000136,5.284346186004343
device_serial_M1-1000179,3.7555275988872268
device_serial_M1-0000490,3.5876277554492835
device_serial_M1-1000188,3.470223872089832
device_serial_M1-1000131,3.4320894894123377
device_serial_M1-1000180,3.139661265409103
device_serial_M1-1000105,3.015253461030402
device_serial_M1-1000144,2.7879360409681713
device_serial_M1-1000110,2.196908564837993
device_serial_M1-1000178,1.9134894463084038
device_serial_M1-1000332,1.6276697452902695
device_serial_M1-1000181,1.6196044913204162
device_serial_M1-1000112,1.3711073858714466
device_serial_M1-1000174,1.3281072102800522
measure_type_display_Transparent glass,1.225383969019859
substance_form_display_Unspecified,1.1830105876332766
substance_form_display_Non homogenized powder,0.947874585351606
device_serial_M1-1000182,0.8910597880865794
device_serial_M1-1000113,0.8445220865298122
device_serial_M1-1000133,0.8207670565708494
device_serial_M1-1000119,0.5611433824451453
device_serial_M1-1000114,0.5380840610581448
device_serial_M1-1000142,0.5322348863761261
device_serial_N1-00253,0.20682222572342823
